uuid,os,vr_enabled
e66510f1-5be6-49d3-b453-d6c4c06fd90c,Mac OS,FALSE
0839c9e4-d4cf-43c9-8775-7908da1c5ae0,Mac OS,FALSE
4aca0773-07ac-4c86-a4be-32388cc1f34e,Windows 10,FALSE
12a9924c-fbc4-4267-a26e-7c65af061f01,Mac OS,FALSE
1b0832bb-1321-43b5-9249-45431a9629ef,Mac OS,FALSE
cbe424cb-d75d-4344-bc62-dcde3302936c,Mac OS,FALSE
24c51b19-9002-4ece-887f-d0963d87393b,Windows 10,TRUE
9faca14a-5ed7-4193-929f-261f67f91e52,Mac OS,FALSE
588b368f-628d-4126-b085-36a015979f1e,Windows 10,FALSE
18749939-ba76-4da4-9e5f-891d9b1ba879,Windows 10,FALSE
4c94bc4d-f1d1-47f2-bfa3-7c80ecd04636,Mac OS,FALSE
0c9dcd87-9027-40a1-b5d9-7af7e42275a9,Windows 10,FALSE
6c58c049-ec19-4adc-947e-eaa759c16577,Mac OS,FALSE
3157a4ed-f959-47dd-ac69-f1c1dca6ca70,Windows 10,FALSE
b32d32b1-29bd-4583-a137-f0934b5c41e5,Windows 10,FALSE
e20b6572-8b09-4086-b513-4dd64ddc3f5a,Windows 10,FALSE
46fafadc-d364-4da4-9b38-5252e9dbbbe1,Windows 10,FALSE
649891f5-4c2a-45b2-a0d4-1e269651cedb,Mac OS,FALSE
3bdbc59f-f8f9-4238-b075-08ef9898cbf9,Windows 10,TRUE
64c89906-f72c-4ce6-8e2c-3b746b3dbb7a,Mac OS,FALSE
d504dcbf-a8fc-44aa-8ba7-873c04cd1a96,Windows 10,FALSE
51242bdf-c9df-4c45-9155-38128824dde6,Windows 10,FALSE
4b33d50d-030c-457e-9c1f-d9fcff42f1bf,Windows 10,FALSE
f331954d-4b55-4d73-a332-0758343ab4d9,Windows 10,TRUE
02444c8f-de98-4295-98b4-ecbadbf08aa8,Mac OS,FALSE
e602f178-9109-403c-b350-e406507e7a97,Mac OS,FALSE